Fecha,Lan_19Reg TOTAL,Lan_19Reg VIS,Lan_19Reg NO VIS,Ini_19Reg TOTAL,Ini_19Reg VIS,Ini_19Reg NO VIS,Vent_19Reg TOTAL,Vent_19Reg VIS,Vent_19Reg NO VIS,Oft_19Reg TOTAL,Oft_19Reg VIS,Oft_19Reg NO VIS
2010-01-01,6740,2903,3837,7733,3537,4196,8758,4282,4476,51897,18886,33011
2010-02-01,10064,5843,4221,7528,3249,4279,9751,4974,4777,52716,19783,32933
2010-03-01,9904,5733,4171,8442,4161,4281,10226,5534,4692,53248,20124,33124
2010-04-01,7573,4880,2693,10091,6414,3677,8759,5110,3649,53615,20264,33351
2010-05-01,7931,4487,3444,7039,3956,3083,8771,5079,3692,54669,20680,33989
2010-06-01,7824,4375,3449,8181,4197,3984,9044,4693,4351,55309,20938,34371
2010-07-01,5939,3257,2682,6431,2794,3637,8837,4842,3995,53297,19789,33508
2010-08-01,11253,5793,5460,7954,3705,4249,9413,5066,4347,56689,21850,34839
2010-09-01,8854,4807,4047,6595,3144,3451,9543,4688,4855,57691,22417,35274
2010-10-01,9515,4418,5097,7138,3963,3175,8819,4407,4412,60029,23324,36705
2010-11-01,10265,5990,4275,8905,5831,3074,9579,4963,4616,63249,25792,37457
2010-12-01,8714,4616,4098,7547,3972,3575,9345,4438,4907,63984,26207,37777
2011-01-01,9925,4303,5622,10292,5309,4983,10538,4837,5701,64410,26201,38209
2011-02-01,11481,5404,6077,9697,4065,5632,11609,5730,5879,65868,26444,39424
2011-03-01,10132,4601,5531,11636,6721,4915,10799,4757,6042,66781,27284,39497
2011-04-01,8633,4578,4055,8792,4469,4323,12037,6262,5775,66011,26424,39587
2011-05-01,9367,4835,4532,7811,3273,4538,11552,5642,5910,65429,25209,40220
2011-06-01,9728,5076,4652,10891,6593,4298,11343,5599,5744,63692,24559,39133
2011-07-01,10521,5343,5178,10699,5297,5402,10687,5663,5024,66510,25887,40623
2011-08-01,10554,5449,5105,10319,4601,5718,10818,5239,5579,67397,25709,41688
2011-09-01,8874,3299,5575,10084,5109,4975,10698,5058,5640,68129,24921,43208
2011-10-01,10165,3977,6188,7879,3990,3889,10333,5081,5252,68116,23496,44620
2011-11-01,10135,5350,4785,8037,3249,4788,9595,4518,5077,70085,25091,44994
2011-12-01,6327,2590,3737,7565,4108,3457,8493,3670,4823,69115,24380,44735
2012-01-01,11891,3878,8013,11242,5250,5992,10161,4115,6046,72885,25772,47113
2012-02-01,9402,4050,5352,8911,3775,5136,10976,5047,5929,73471,25501,47970
2012-03-01,14178,6253,7925,9790,4732,5058,11382,5036,6346,78262,28098,50164
2012-04-01,8684,3682,5002,7526,3690,3836,10457,4258,6199,76750,27914,48836
2012-05-01,8717,3741,4976,9846,5218,4628,10445,4690,5755,74805,26648,48157
2012-06-01,10295,4502,5793,11856,5082,6774,11095,4939,6156,75777,26741,49036
2012-07-01,11132,4241,6891,10335,4088,6247,11780,5577,6203,76930,25991,50939
2012-08-01,10860,5533,5327,8092,3627,4465,11399,5407,5992,78313,26923,51390
2012-09-01,10455,3322,7133,7691,3027,4664,10800,4651,6149,79391,26212,53179
2012-10-01,13609,4784,8825,10660,3831,6829,11318,4808,6510,82851,26942,55909
2012-11-01,9731,3827,5904,8979,3487,5492,10627,4414,6213,82085,26673,55412
2012-12-01,8505,2183,6322,11186,5086,6100,10585,4558,6027,80541,24510,56031
2013-01-01,11983,6338,5645,11723,3764,7959,11482,5033,6449,82773,27432,55341
2013-02-01,10979,5479,5500,10724,5513,5211,11518,5062,6456,83953,28525,55428
2013-03-01,11239,3673,7566,12400,6809,5591,11899,5165,6734,84253,27901,56352
2013-04-01,12237,5642,6595,13186,6054,7132,12714,5751,6963,83873,27803,56070
2013-05-01,9959,3846,6113,8662,3513,5149,13033,5791,7242,81059,26089,54970
2013-06-01,12251,5848,6403,11289,5406,5883,12697,5712,6985,81441,26614,54827
2013-07-01,11645,5636,6009,8864,3193,5671,13479,5717,7762,80003,26219,53784
2013-08-01,13019,7052,5967,12301,5938,6363,12964,6068,6896,82420,28643,53777
2013-09-01,13924,6202,7722,10482,4844,5638,13112,6212,6900,84596,29485,55111
2013-10-01,11091,4865,6226,10600,5118,5482,13980,7511,6469,82193,27224,54969
2013-11-01,13557,6382,7175,11312,4837,6475,12040,6074,5966,84980,28227,56753
2013-12-01,12561,5660,6901,9345,4032,5313,10344,4574,5770,88561,29970,58591
2014-01-01,14662,7359,7303,14175,7775,6400,13567,6047,7520,89626,31380,58246
2014-02-01,21771,15682,6089,10855,5183,5672,17253,10487,6766,93993,35878,58115
2014-03-01,17453,9723,7730,10216,4968,5248,13314,6956,6358,99134,39043,60091
2014-04-01,14814,8606,6208,13840,8505,5335,14772,8178,6594,100195,39861,60334
2014-05-01,16627,11262,5365,10559,5534,5025,13123,6846,6277,104692,44767,59925
2014-06-01,19743,12412,7331,19258,12147,7111,13827,7945,5882,111634,49781,61853
2014-07-01,11143,5050,6093,9292,4730,4562,12856,6480,6376,110209,47869,62340
2014-08-01,11047,4818,6229,10666,4309,6357,13655,6831,6824,110249,48202,62047
2014-09-01,14017,7279,6738,11649,6676,4973,15936,9043,6893,109445,46604,62841
2014-10-01,13022,5450,7572,11433,5970,5463,15798,7811,7987,108362,45062,63300
2014-11-01,14189,6865,7324,8941,3395,5546,13822,7383,6439,109920,45002,64918
2014-12-01,10402,4434,5968,10596,6137,4459,12950,7504,5446,107614,41990,65624
2015-01-01,13167,5758,7409,24275,15711,8564,13684,6364,7320,108175,42641,65534
2015-02-01,14791,7545,7246,14666,7515,7151,16027,8581,7446,108178,42229,65949
2015-03-01,17314,9142,8172,11877,5744,6133,16343,8786,7557,109606,42801,66805
2015-04-01,12787,6031,6756,10741,5445,5296,15349,7804,7545,108863,41690,67173
2015-05-01,16243,8921,7322,13410,7567,5843,16154,8981,7173,111537,42902,68635
2015-06-01,13402,7196,6206,10171,4331,5840,15648,9185,6463,110671,41829,68842
2015-07-01,15550,9139,6411,12579,5518,7061,15568,7944,7624,111702,43368,68334
2015-08-01,16100,8172,7928,12451,5872,6579,17066,8951,8115,112047,42652,69395
2015-09-01,18057,9827,8230,9623,4436,5187,16461,8607,7854,114568,43847,70721
2015-10-01,15181,6404,8777,12755,5940,6815,14855,7715,7140,117669,44186,73483
2015-11-01,13927,5512,8415,14384,6460,7924,14620,7485,7135,118488,42833,75655
2015-12-01,14656,5643,9013,10306,5176,5130,13694,6807,6887,117987,40915,77072
2016-01-01,14417,6851,7566,16142,8195,7947,15137,7026,8111,118767,42559,76208
2016-02-01,18857,8792,10065,14690,8250,6440,15962,7924,8038,123172,43969,79203
