fecha,licencia_unidades,licencia_area,licencia_unidades_Vis,licencia_unidades_NoVis,licencia_area_ Vis,licencia_area_NoVis,cemento_gris_prod,cemento_gris_desp,cemento_gris_desp_concreteras,cemento_gris_desp_comercialización,cemento_gris_desp_constructores_contratistas,cemento_gris_desp_otros,dtf,pib_const,pib_total,inflacion,dolar,oil Brent,OIL WTI,ISE,ICC,IEC,ICE,comercio_minorista,desempleo,CONSTRUCCIÓN,REVESTIMIENTOS,BAÑOS Y COCINAS,ELECTRO HOGAR,PINTURAS,MUEBLES,HERRAMIENTAS,ELECTRICIDAD,PLOMERÍA,MADERAS,FERRETERÍA,REMODELACIÓN RADDAR,licencia_area/und,licencia_area/und_Vis,licencia_area/und_No_Vis
2002-05-01,,,,,,,,,,,,,,,,5.84,2310.24,,,,-14.6,-5.3,-28.5,,14.42535005,,,,,,,,,,,,,,,
2002-06-01,,,,,,,,,,,,,,,,6.25,2364.25,,,,3.6,16.5,-15.9,,16.25253289,,,,,,,,,,,,,,,
2002-07-01,,,,,,,,,,,,,,,,6.16,2506.72,,,,-5.0,9.2,-26.4,,15.4082957,,,,,,,,,,,,,,,
2002-08-01,,,,,,,,,,,,,,,,5.98,2647.22,,,,3.3,17.9,-18.5,,15.78417474,,,,,,,,,,,,,,,
2002-09-01,,,,,,,,,,,,,,,,5.97,2751.23,,,,-6.1,6.8,-25.6,,14.55545571,,,,,,,,,,,,,,,
2002-10-01,,,,,,,,,,,,,,,,6.37,2827.86,,,,-4.4,7.8,-22.6,,14.80876409,,,,,,,,,,,,,,,
2002-11-01,,,,,,,,,,,,,,,,7.07,2726.66,,,,-1.5,10.4,-19.4,,14.70761544,,,,,,,,,,,,,,,
2002-12-01,,,,,,,,,,,,,,,,6.99,2814.89,,,,6.1,15.7,-8.3,,15.7729772,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,7.39,2913.0,30.71,33.51,,0.8,12.4,-16.6,,16.11507875,,,,,,,,,,,,,,,
2003-02-01,,,,,,,,,,,,,,,,7.24,2951.86,32.63,36.6,,-1.3,8.5,-16.1,,16.28194915,,,,,,,,,,,,,,,
2003-03-01,,,,,,,,,,,,,,,,7.6,2959.01,27.22,31.04,,-7.8,-0.2,-19.3,,12.98352182,,,,,,,,,,,,,,,
2003-04-01,,,,,,,,,,,,,,,,7.85,2926.62,23.72,25.8,,-8.5,-0.9,-19.9,,14.80115283,,,,,,,,,,,,,,,
2003-05-01,,,,,,,,,,,,,,,,7.73,2858.94,26.71,29.56,,-1.6,7.3,-14.8,,12.89302504,,,,,,,,,,,,,,,
2003-06-01,,,,,,,,,,,,,,,,7.21,2826.95,27.11,30.19,,5.3,16.9,-12.1,,14.13568081,,,,,,,,,,,,,,,
2003-07-01,,,,,,,,,,,,,,,,7.04,2858.82,27.52,30.54,,1.9,12.3,-13.7,,14.44336407,,,,,,,,,,,,,,,
2003-08-01,,,,,,,,,,,,,,,,7.26,2867.29,28.9,31.57,,9.9,21.1,-6.8,,14.43358237,,,,,,,,,,,,,,,
2003-09-01,,,,,,,,,,,,,,,,7.11,2840.08,26.82,29.2,,5.0,14.0,-8.5,,14.25878744,,,,,,,,,,,,,,,
2003-10-01,,,,,,,,,,,,,,,,6.58,2876.2,27.17,29.11,,5.9,16.0,-9.3,,13.70086656,,,,,,,,,,,,,,,
2003-11-01,,,,,,,,,,,,,,,,6.13,2844.55,28.45,30.41,,4.9,11.3,-4.8,,12.91168254,,,,,,,,,,,,,,,
2003-12-01,,,,,,,,,,,,,,,,6.49,2807.2,29.87,32.52,,14.5,27.0,-4.3,,12.18556213,,,,,,,,,,,,,,,
2004-01-01,,,,,,,,,,,,,,,,6.19,2749.14,28.68,33.05,,25.7,39.6,4.9,,17.00307251,,,,,,,,,,,,,,,
2004-02-01,,,,,,,,,,,,,,,,6.28,2717.94,31.13,36.16,,16.0,25.3,1.9,,15.68759781,,,,,,,,,,,,,,,
2004-03-01,,,,,,,,,,,,,,,,6.21,2670.8,31.49,35.76,,13.0,23.7,-3.0,,13.62383777,,,,,,,,,,,,,,,
2004-04-01,,,,,,,,,,,,,,,,5.49,2639.6,33.99,37.38,,13.4,22.1,0.3,,14.67709659,,,,,,,,,,,,,,,
2004-05-01,,,,,,,,,,,,,,,,5.37,2719.43,36.17,39.88,,12.4,18.2,3.8,,13.7523369,,,,,,,,,,,,,,,
2004-06-01,,,,,,,,,,,,,,,,6.07,2716.56,32.68,37.05,,12.7,19.6,2.4,,13.99568954,,,,,,,,,,,,,,,
2004-07-01,,,,,,,,,,,,,,,,6.19,2653.32,38.69,43.8,,13.8,21.0,2.9,,12.94004436,,,,,,,,,,,,,,,
2004-08-01,,,,,,,,,,,,,,,,5.89,2598.59,38.15,42.12,,10.3,15.5,2.6,,13.08511124,,,,,,,,,,,,,,,
2004-09-01,,,,,,,,,,,,,,,,5.97,2552.78,43.39,49.64,,5.9,9.9,-0.1,,12.51466664,,,,,,,,,,,,,,,
2004-10-01,,,,,,,,,,,,,,,,5.9,2580.7,43.39,51.76,,9.1,13.1,3.2,,12.59418515,,,,,,,,,,,,,,,
2004-11-01,,,,,,,,,,,,,,,,5.82,2530.19,39.77,49.13,,15.7,21.1,7.7,,11.77697423,,,,,,,,,,,,,,,
