DATE,TCU,Average Price Fuel Oil,U.S Rental Vacency Rate
1/1/2017,75.2623,2.482,7
2/1/2017,75.0381,2.474,7
3/1/2017,75.5665,2.449,7
4/1/2017,76.3559,2.438,7.3
5/1/2017,76.4721,2.378,7.3
6/1/2017,76.6685,2.284,7.3
7/1/2017,76.6079,2.215,7.5
8/1/2017,76.3392,2.292,7.5
9/1/2017,76.4937,2.481,7.5
10/1/2017,77.5402,2.52,6.9
11/1/2017,77.7627,2.633,6.9
12/1/2017,77.9617,2.703,6.9
1/1/2018,77.9966,2.902,7
2/1/2018,78.3304,2.856,7
3/1/2018,78.815,2.827,7
4/1/2018,79.7391,2.875,6.8
5/1/2018,79.0181,3.132,6.8
6/1/2018,79.6224,3.132,6.8
7/1/2018,79.7732,3.22,7.1
8/1/2018,80.3073,3.229,7.1
9/1/2018,80.2637,3.279,7.1
10/1/2018,80.1297,3.381,6.6
11/1/2018,80.0121,3.286,6.6
12/1/2018,79.8846,2.951,6.6
1/1/2019,79.3593,2.934,7
2/1/2019,78.9453,3.03,7
3/1/2019,78.9401,3.05,7
4/1/2019,78.4685,3.103,6.8
5/1/2019,78.5379,3.03,6.8
6/1/2019,78.4694,2.946,6.8
7/1/2019,78.0855,2.932,6.8
8/1/2019,78.5382,2.87,6.8
9/1/2019,78.2029,2.894,6.8
10/1/2019,77.5138,3.008,6.4
11/1/2019,77.6879,2.984,6.4
12/1/2019,77.374,3.035,6.4
1/1/2020,76.9769,3.052,6.6
2/1/2020,77.2526,2.812,6.6
3/1/2020,74.333,2.405,6.6
4/1/2020,64.5298,2.044,5.7
5/1/2020,65.5992,1.905,5.7
6/1/2020,69.7637,2.057,5.7
7/1/2020,72.4928,2.134,6.4
8/1/2020,73.257,2.161,6.4
9/1/2020,73.3395,2.123,6.4
10/1/2020,74.0482,2.139,6.5
11/1/2020,74.4156,2.208,6.5
12/1/2020,75.3466,2.419,6.5
1/1/2021,76.365,2.549,6.8
2/1/2021,74.1634,2.79,6.8
3/1/2021,76.3299,2.873,6.8
4/1/2021,76.5776,2.785,6.2
5/1/2021,77.2635,2.825,6.2
6/1/2021,77.6622,2.952,6.2
7/1/2021,78.2373,2.98,5.8
8/1/2021,78.2262,2.932,5.8
9/1/2021,77.4469,2.999,5.8
10/1/2021,78.5784,3.422,5.6
11/1/2021,78.9808,,
12/1/2021,78.7416,,
1/1/2022,78.9421,,
2/1/2022,79.4145,,
3/1/2022,79.8154,,
4/1/2022,80.2284,,
5/1/2022,80.0354,,
6/1/2022,79.8445,,
7/1/2022,80.3048,,
8/1/2022,80.1389,,
9/1/2022,80.3408,,
