iter	Passed	Remaining
0	0	569
1	1	577
2	1	551
3	2	536
4	2	540
5	3	522
6	3	516
7	4	501
8	4	499
9	5	495
10	5	491
11	6	498
12	6	499
13	7	494
14	7	491
15	8	494
16	8	493
17	8	487
18	9	483
19	9	483
20	10	482
21	10	480
22	11	480
23	11	480
24	12	473
25	12	466
26	12	461
27	13	460
28	13	455
29	13	450
30	14	456
31	15	454
32	15	449
33	15	449
34	16	445
35	16	443
36	16	442
37	17	437
38	17	429
39	17	428
40	18	429
41	18	427
42	19	423
43	19	421
44	19	419
45	20	418
46	20	416
47	21	416
48	21	419
49	21	415
50	22	414
51	22	413
52	23	413
53	23	411
54	23	408
55	24	406
56	24	405
57	24	404
58	25	402
59	25	401
60	25	398
61	26	397
62	26	395
63	26	393
64	27	392
65	27	388
66	27	387
67	27	383
68	28	382
69	28	381
70	28	378
71	29	375
72	29	372
73	29	371
74	30	370
75	30	370
76	30	368
77	31	367
78	31	366
79	31	364
80	31	361
81	32	361
82	32	360
83	33	359
84	33	359
85	33	358
86	34	358
87	34	356
88	34	355
89	35	354
90	35	351
91	35	350
92	35	349
93	36	350
94	36	348
95	36	347
96	37	346
97	37	344
98	37	342
99	38	342
100	38	341
101	38	341
102	39	340
103	39	339
104	39	338
105	40	338
106	40	336
107	40	336
108	41	335
109	41	333
110	41	331
111	41	329
112	41	328
113	42	328
114	42	328
115	42	327
116	43	327
117	43	327
118	43	325
119	44	324
120	44	323
121	44	322
122	45	322
123	45	321
124	45	320
125	46	320
126	46	320
127	47	320
128	47	321
129	47	320
130	48	319
131	48	317
132	48	317
133	49	317
134	49	316
135	49	315
136	50	316
137	50	316
138	51	316
139	51	315
140	51	315
141	51	313
142	52	312
143	52	311
144	52	311
145	52	309
146	53	309
147	53	307
148	53	306
149	53	305
150	54	305
151	54	304
152	54	304
153	55	303
154	55	303
155	55	302
156	56	302
157	56	300
158	56	299
159	56	298
160	57	298
161	57	297
162	57	297
163	58	295
164	58	295
165	58	294
166	58	293
167	59	293
168	59	293
169	59	292
170	60	292
171	60	292
172	61	292
173	61	291
174	61	290
175	61	289
176	62	289
177	62	289
178	62	288
179	63	287
180	63	287
181	63	286
182	64	286
183	64	285
184	64	284
185	64	284
186	65	283
187	65	283
188	66	283
189	66	282
190	66	281
191	66	280
192	67	280
193	67	280
194	67	279
195	67	277
196	67	276
197	68	276
198	68	275
199	68	274
200	68	273
201	69	272
202	69	271
203	69	270
204	69	269
205	69	268
206	69	267
207	70	266
208	70	265
209	70	264
210	70	263
211	70	263
212	71	262
213	71	261
214	71	261
215	71	260
216	71	259
217	72	259
218	72	258
219	72	258
220	73	257
221	73	256
222	73	255
223	73	255
224	73	254
225	74	253
226	74	252
227	74	251
228	74	251
229	74	250
230	74	249
231	75	248
232	75	248
233	75	247
234	75	246
235	76	246
236	76	245
237	76	244
238	76	244
239	77	243
240	77	243
241	77	242
242	77	241
243	77	241
244	78	240
245	78	240
246	78	239
247	78	238
248	78	238
249	79	237
250	79	237
251	79	236
252	79	236
253	80	235
254	80	234
255	80	234
256	80	233
257	81	233
258	81	232
259	81	232
260	81	231
261	81	230
262	82	230
263	82	229
264	82	229
265	82	228
266	83	228
267	83	228
268	83	228
269	84	227
270	84	227
271	84	226
272	84	225
273	85	225
274	85	224
275	85	224
276	85	223
277	86	223
278	86	222
279	86	222
280	86	221
281	86	221
282	87	220
283	87	220
284	87	219
285	87	219
286	87	218
287	88	218
288	88	217
289	88	217
290	88	216
291	89	216
292	89	215
293	89	215
294	89	214
295	90	214
296	90	213
297	90	213
298	90	212
299	90	212
300	91	211
301	91	211
302	91	210
303	91	210
304	92	210
305	92	209
306	92	209
307	92	208
308	93	208
309	93	207
310	93	207
311	93	206
312	94	206
313	94	206
314	94	205
315	94	205
316	94	204
317	95	204
318	95	203
319	95	203
320	96	203
321	96	202
322	96	202
323	96	202
324	97	201
325	97	201
326	97	201
327	98	200
328	98	200
329	98	199
330	98	199
331	98	199
332	99	198
333	99	198
334	99	197
335	99	197
336	100	197
337	100	196
338	100	196
339	101	196
340	101	195
341	101	195
342	101	195
343	102	194
344	102	194
345	102	194
346	102	193
347	103	193
348	103	193
349	103	192
350	104	192
351	104	192
352	104	191
353	104	191
354	105	191
355	105	191
356	105	190
357	106	190
358	106	189
359	106	189
360	106	189
361	107	188
362	107	188
363	107	188
364	108	188
365	108	187
366	108	187
367	108	186
368	109	186
369	109	186
370	109	185
371	109	185
372	110	185
373	110	184
374	110	184
375	110	183
376	111	183
377	111	183
378	111	182
379	111	182
380	112	182
381	112	181
382	112	181
383	112	181
384	113	180
385	113	180
386	113	180
387	114	179
388	114	179
389	114	179
390	114	179
391	115	178
392	115	178
393	115	178
394	116	177
395	116	177
396	116	177
397	116	176
398	117	176
399	117	176
400	117	175
401	117	175
402	118	175
403	118	174
404	118	174
405	119	174
406	119	173
407	119	173
408	119	173
409	120	173
410	120	172
411	120	172
412	121	172
413	121	171
414	121	171
415	121	171
416	122	170
417	122	170
418	122	170
419	123	169
420	123	169
421	123	169
422	123	169
423	124	168
424	124	168
425	124	168
426	125	167
427	125	167
428	125	167
429	125	166
430	126	166
431	126	166
432	126	166
433	127	166
434	127	165
435	127	165
436	128	165
437	128	164
438	128	164
439	129	164
440	129	164
441	130	164
442	130	163
443	130	163
444	131	163
445	131	163
446	131	162
447	131	162
448	132	162
449	132	161
450	132	161
451	133	161
452	133	161
453	133	160
454	133	160
455	134	160
456	134	159
457	134	159
458	135	159
459	135	158
460	135	158
461	135	158
462	136	157
463	136	157
464	137	157
465	137	157
466	137	157
467	137	156
468	138	156
469	138	156
470	138	155
471	139	155
472	139	155
473	139	155
474	140	154
475	140	154
476	140	154
477	140	153
478	141	153
479	141	153
480	141	152
481	142	152
482	142	152
483	142	152
484	143	151
485	143	151
486	143	151
487	143	150
488	144	150
489	144	150
490	144	150
491	145	149
492	145	149
493	145	149
494	146	149
495	146	149
496	147	148
497	147	148
498	148	148
499	148	148
500	148	148
501	149	148
502	149	147
503	149	147
504	150	147
505	150	146
506	150	146
507	151	146
508	151	146
509	151	145
510	151	145
511	152	145
512	152	144
513	152	144
514	153	144
515	153	143
516	153	143
517	153	143
518	154	142
519	154	142
520	155	142
521	155	142
522	155	142
523	156	141
524	156	141
525	157	141
526	157	141
527	158	141
528	158	141
529	158	140
530	159	140
531	159	140
532	159	139
533	160	139
534	160	139
535	160	139
536	160	138
537	161	138
538	161	138
539	161	137
540	162	137
541	162	137
542	162	137
543	163	136
544	163	136
545	163	136
546	163	135
547	164	135
548	164	135
549	164	134
550	165	134
551	165	134
552	165	133
553	165	133
554	166	133
555	166	133
556	166	132
557	167	132
558	167	132
559	167	131
560	168	131
561	168	131
562	168	130
563	168	130
564	169	130
565	169	130
566	169	129
567	170	129
568	170	129
569	171	129
570	171	128
571	171	128
572	172	128
573	172	128
574	172	127
575	173	127
576	173	127
577	174	127
578	174	126
579	174	126
580	175	126
581	175	126
582	175	125
583	176	125
584	176	125
585	176	125
586	177	124
587	177	124
588	178	124
589	178	124
590	179	123
591	179	123
592	179	123
593	180	123
594	180	123
595	181	122
596	181	122
597	182	122
598	182	122
599	182	121
600	182	121
601	183	121
602	184	121
603	184	120
604	184	120
605	184	120
606	185	119
607	185	119
608	185	119
609	186	119
610	186	118
611	186	118
612	187	118
613	187	117
614	187	117
615	187	117
616	188	116
617	188	116
618	188	116
619	189	115
620	189	115
621	189	115
622	190	115
623	190	114
624	190	114
625	190	114
626	191	113
627	191	113
628	191	113
629	192	112
630	192	112
631	192	112
632	193	111
633	193	111
634	193	111
635	193	110
636	194	110
637	194	110
638	194	110
639	194	109
640	195	109
641	195	109
642	196	108
643	196	108
644	196	108
645	197	108
646	197	107
647	198	107
648	198	107
649	198	107
650	199	106
651	199	106
652	199	106
653	200	105
654	200	105
655	201	105
656	201	105
657	202	105
658	202	104
659	203	104
660	203	104
661	203	104
662	204	103
663	204	103
664	204	103
665	205	103
666	205	102
667	206	102
668	206	102
669	206	101
670	207	101
671	207	101
672	207	100
673	208	100
674	208	100
675	208	100
676	209	99
677	209	99
678	209	99
679	209	98
680	210	98
681	210	98
682	210	97
683	211	97
684	211	97
685	212	97
686	212	96
687	213	96
688	213	96
689	213	96
690	214	95
691	214	95
692	214	95
693	215	94
694	215	94
695	216	94
696	216	94
697	216	93
698	217	93
699	217	93
700	217	92
701	218	92
702	219	92
703	219	92
704	219	91
705	220	91
706	220	91
707	220	91
708	220	90
709	221	90
710	221	90
711	221	89
712	222	89
713	222	89
714	222	88
715	223	88
716	223	88
717	223	87
718	223	87
719	224	87
720	224	86
721	225	86
722	225	86
723	226	86
724	226	85
725	226	85
726	227	85
727	227	85
728	227	84
729	228	84
730	228	84
731	229	84
