date,desem_CONSUMO,desem_MICROCREDITO,desem_ORDINARIO,desem_PREFERENCIAL,desem_SOBREGIROS,desem_TARJETAS DE CREDITO,desem_TESORERIA,desem_VIVIENDA
2006-01-01,732839.0,29616.0,935626.0,1651000.0,3548447.0,760275.0,2787065.0,127642.0
2006-02-01,1110657.0,45208.0,1571499.0,2090347.0,4226721.0,776927.0,3023588.0,172754.0
2006-03-01,1535094.72,64184.90794,1780239.259,2809255.588,5066261.0,1009526.807,3490951.181,228009.8819
2006-04-01,1250649.189,47983.785,1268299.118,2172571.473,4428331.0,846427.3431,3836207.809,170960.0
2006-05-01,1575341.0,60625.0,2062936.0,3806579.0,5906523.0,1119979.0,4405531.0,271331.0
2006-06-01,1378764.0,51810.0,2041478.0,3873950.0,4976341.0,876824.0,3878068.0,283259.0
2006-07-01,1301826.0,48759.0,1460936.0,3228221.0,4852572.0,904372.0,4444073.0,284249.0
2006-08-01,1829201.0,62931.0,2070660.0,3927821.0,5907779.0,1152497.0,4691559.0,410766.0
2006-09-01,1671433.0,56764.0,1813877.0,3137079.0,5093036.0,966396.0,3998190.0,403672.0
2006-10-01,1317337.0,49671.0,1988464.0,3089632.0,5555797.0,948090.0,4239882.0,327498.0
2006-11-01,1852587.0,74467.0,3190918.0,4671121.0,7030761.0,1253298.0,4568184.0,544055.0
2006-12-01,1479307.0,52372.0,3282561.0,3650751.0,5801335.0,1209850.0,4059511.0,473195.0
2007-01-01,1448762.0,51897.0,2453811.0,3770277.0,6541516.0,1202266.0,4121108.0,504270.0
2007-02-01,1666633.0,55382.0,3127011.0,3282167.0,6109067.0,997656.0,3690854.0,378923.0
2007-03-01,1942401.0,62386.0,2572234.0,3586038.0,6137799.0,1070494.0,3725141.0,426072.0
2007-04-01,1737502.0,56263.0,2209128.0,2540854.0,5822152.0,1037712.0,3775658.0,343489.0
2007-05-01,1993234.0,69675.0,3071434.0,4428325.0,8085349.0,1352317.0,4897953.0,510458.0
2007-06-01,1444145.0,57292.0,2525333.0,3277886.0,6642626.0,1148397.0,4000666.0,411126.0
2007-07-01,1290629.0,47032.0,2424261.0,2707091.0,6617206.0,1171872.0,3798808.0,340919.0
2007-08-01,1830203.0,76361.0,3406665.0,4200097.0,8064876.0,1476806.0,4312261.0,516207.0
2007-09-01,1628316.0,59208.0,2960943.0,3500415.0,7073065.0,1231963.0,3920610.0,423625.0
2007-10-01,1942350.0,73771.0,3746112.0,4335777.0,8186413.0,1444557.0,5188389.0,503052.0
